timestamp,temp,humid
1440274985.979, 82.2, 48.9
1440275041.982, 82.2, 49.5
1440275105.529, 82.2, 50.3
1440275162.545, 82.4, 51.7
1440275243.839, 82.2, 52.4
1440275293.480, 82.2, 51.9
1440275353.130, 82.4, 53.5
1440275405.677, 82.2, 53.3
1440275462.675, 82.2, 54.2
1440275533.318, 82.2, 54.0
1440275589.411, 82.2, 54.4
1440275642.407, 82.4, 54.2
1440275709.495, 82.2, 53.9
1440275762.503, 82.4, 54.3
1440275826.060, 82.6, 54.3
1440275885.606, 82.4, 53.9
1440275960.342, 82.6, 53.7
1440276009.439, 82.8, 53.6
1440276062.448, 82.6, 53.7
1440276122.447, 82.6, 53.7
1440276186.004, 82.6, 53.7
1440276259.751, 82.6, 53.9
1440276313.399, 82.6, 53.9
1440276365.931, 82.6, 53.9
1440276425.473, 82.6, 54.1
1440276486.042, 82.6, 54.3
1440276542.044, 82.6, 54.5
1440276602.053, 82.6, 54.6
1440276662.055, 82.6, 54.5
1440276732.698, 82.6, 54.5
1440276786.252, 82.6, 54.2
1440276845.800, 82.6, 52.9
1440276916.991, 82.6, 51.4
1440276962.002, 82.6, 51.0
1440277036.207, 82.4, 50.5
1440277085.755, 82.4, 50.1
1440277146.308, 82.4, 49.8
1440277205.860, 82.2, 50.1
1440277269.958, 82.2, 51.4
1440277360.979, 82.0, 52.2
1440277381.962, 82.0, 52.2
1440277441.971, 82.2, 52.3
1440277523.250, 82.2, 52.9
1440277565.801, 82.0, 53.5
1440277622.795, 82.2, 53.7
1440277682.796, 82.4, 54.3
1440277767.630, 82.6, 54.4
1440277809.738, 82.6, 54.1
1440277873.389, 82.6, 54.7
1440277933.028, 82.6, 54.9
1440277989.122, 82.8, 54.7
1440278045.678, 82.8, 54.9
1440278102.673, 82.9, 54.6
1440278166.220, 82.8, 54.8
1440278225.901, 82.9, 54.5
1440278288.992, 82.8, 55.1
1440278363.279, 82.8, 55.4
1440278437.749, 82.8, 54.6
1440278466.294, 82.6, 54.4
1440278522.313, 82.8, 54.3
1440278582.314, 82.6, 52.4
1440278645.878, 82.4, 51.6
1440278708.974, 82.4, 51.5
1440278761.978, 82.4, 50.9
1440278839.720, 82.2, 51.6
1440278882.722, 82.2, 51.2
1440278946.283, 82.0, 50.9
1440279009.390, 82.0, 51.2
1440279065.950, 82.2, 51.9
1440279125.503, 82.0, 52.0
1440279189.585, 82.2, 53.1
1440279249.681, 82.2, 52.7
1440279306.232, 82.4, 53.7
1440279365.777, 82.2, 54.7
1440279422.784, 82.4, 55.5
1440279493.427, 82.4, 55.9
1440279542.437, 82.6, 55.8
1440279605.988, 82.8, 56.0
1440279676.187, 82.8, 56.0
1440279722.187, 82.8, 56.0
1440279782.192, 82.8, 56.1
1440279845.750, 82.8, 56.0
1440279916.943, 82.9, 56.1
1440279961.946, 82.9, 56.1
1440280021.953, 82.9, 56.0
1440280085.500, 82.9, 56.1
1440280142.501, 82.9, 55.6
1440280227.340, 82.9, 54.7
1440280262.343, 82.9, 53.0
1440280343.631, 82.8, 51.3
1440280400.380, 82.8, 50.8
1440280474.313, 82.6, 50.5
1440280527.142, 82.4, 50.0
1440280569.250, 82.2, 49.4
1440280629.350, 82.2, 49.8
1440280689.452, 82.2, 50.5
1440280746.005, 82.4, 51.6
1440280802.011, 82.4, 52.0
1440280862.025, 82.4, 53.0
1440280922.029, 82.4, 53.8
1440280992.671, 82.4, 53.7
1440281042.675, 82.4, 54.3
1440281106.221, 82.4, 54.1
1440281172.858, 82.4, 55.1
1440281222.867, 82.4, 55.3
1440281293.509, 82.6, 55.2
1440281346.058, 82.4, 55.1
1440281412.702, 82.6, 55.2
1440281473.349, 82.6, 55.1
1440281532.985, 82.6, 55.1
1440281589.081, 82.6, 55.0
1440281645.626, 82.6, 54.9
1440281706.180, 82.6, 54.9
1440281762.174, 82.6, 54.8
1440281868.410, 82.6, 54.7
